ProteinName,FullPeptideName,transition_group_id,transition_name,RetentionTime,Annotation,PrecursorMz,MS1 Res,ProductMz,MS2 Res,Dwell,Fragmentor,Collision Energy,Cell Accelerator Voltage,LibraryIntensity,decoy,PeptideSequence,LabelType,PrecursorCharge,FragmentCharge,FragmentType,FragmentSeriesNumber,quantifying_transition,identifying_transition,detecting_transition
ru5p-D,,ru5p-D,ru5p-D.ru5p-D_2.Light,504.4573988,,229.001,Unit,139,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
cmp,,cmp,cmp.cmp_1.Heavy,497.4750443,,331.001,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
cmp,,cmp,cmp.cmp_1.Light,497.8950528,,322.2,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
cmp,,cmp,cmp.cmp_2.Light,497.8950528,,322,Unit,278,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
2obut,,2obut,2obut.2obut_1.Heavy,516,,105.0144,Unit,75.00671,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
2obut,,2obut,2obut.2obut_1.Light,516,,101.001,Unit,73,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
2obut,,2obut,2obut.2obut_2.Light,516,,101.001,Unit,32,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
f1p,,f1p,f1p.f1p_1.Heavy,562.8,,265.003,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
f1p,,f1p,f1p.f1p_1.Light,562.8,,259.003,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
f1p,,f1p,f1p.f1p_2.Light,562.8,,259.003,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dcmp,,dcmp,dcmp.dcmp_1.Heavy,566.7682534,,315,Unit,200,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dcmp,,dcmp,dcmp.dcmp_1.Light,567.4992601,,306,Unit,195,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dcmp,,dcmp,dcmp.dcmp_2.Light,567.4992601,,306,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
ump,,ump,ump.ump_1.Heavy,582.6948625,,332,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
ump,,ump,ump.ump_1.Light,583.5494567,,323,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
ump,,ump,ump.ump_2.Light,583.5494567,,323,Unit,97,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dhap,,dhap,dhap.dhap_1.Heavy,603.3790578,,172,Unit,97,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dhap,,dhap,dhap.dhap_1.Light,603.3970812,,169,Unit,97,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dhap,,dhap,dhap.dhap_2.Light,603.3970812,,169,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dump,,dump,dump.dump_1.Heavy,640.3994568,,316,Unit,79,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dump,,dump,dump.dump_1.Light,640.3994568,,307,Unit,79,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dump,,dump,dump.dump_2.Light,640.3994568,,307,Unit,195,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
dimp,,dimp,dimp.dimp_1.Heavy,669.890697,,341,Unit,140,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
dimp,,dimp,dimp.dimp_1.Light,669.890697,,331,Unit,135,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
dimp,,dimp,dimp.dimp_2.Light,669.890697,,331,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
35cgmp,,35cgmp,35cgmp.35cgmp_1.Heavy,641.5616958,,354,Unit,155,Unit,,,,,1,0,,Heavy,1,1,,1,TRUE,FALSE,TRUE
35cgmp,,35cgmp,35cgmp.35cgmp_1.Light,641.5616958,,344,Unit,150,Unit,,,,,1,0,,Light,1,1,,1,TRUE,FALSE,TRUE
35cgmp,,35cgmp,35cgmp.35cgmp_2.Light,641.5616958,,344,Unit,79,Unit,,,,,1,0,,Light,1,1,,2,FALSE,FALSE,TRUE
