component_name,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_int_l,metaValue_peak_apex_int_u,metaValue_peak_apex_position_l,metaValue_peak_apex_position_u,metaValue_total_width_l,metaValue_total_width_u,metaValue_width_at_50_l,metaValue_width_at_50_u,metaValue_tailing_factor_l,metaValue_tailing_factor_u,metaValue_asymmetry_factor_l,metaValue_asymmetry_factor_u,metaValue_baseline_delta_2_height_l,metaValue_baseline_delta_2_height_u,metaValue_points_across_baseline_l,metaValue_points_across_baseline_u,metaValue_points_across_half_height_l,metaValue_points_across_half_height_u,metaValue_logSN_l,metaValue_logSN_u,metaValue_calculated_concentration_l,metaValue_calculated_concentration_u
Citrate_469,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Citrate_470,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Citrate_471,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
Citrate_472,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
E4P_217,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
E4P_218,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
E4P_219,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
E4P_220,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
E4P_221,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_160,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_161,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_162,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_163,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_357,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_358,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_359,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_360,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_459,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_460,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_461,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_462,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_463,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_604,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_605,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_606,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_607,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_608,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_609,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
R5P_610,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_217,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_218,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_219,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_220,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_221,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_357,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_358,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_359,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_360,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_706,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_707,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_708,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_709,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_710,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
F6P_711,100,5.00E+06,100,4.00E+06,0.00E+00,1.00E+02,0.1,1.00E+00,0.001,2.50E-01,0,2,0.8,2.5,-0.25,0.25,20,500,5,500,1,1.00E+06,0,1.00E+12
