IS_name,component_name,feature_name,concentration_units,llod,ulod,lloq,uloq,correlation_coefficient,actual_concentration,n_points,transformation_model,transformation_model_param_slope,transformation_model_param_intercept,transformation_model_param_x_weight,transformation_model_param_y_weight,transformation_model_param_x_datum_min,transformation_model_param_x_datum_max,transformation_model_param_y_datum_min,transformation_model_param_y_datum_max
,G6P_707,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_708,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_709,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_710,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_711,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_712,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,G6P_713,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_357,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_358,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_359,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_360,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_471,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_472,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_473,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_474,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_475,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
,S7P_476,peak_apex_int,uM,,,,,,,,linear,1,0,x,y,1.00E-15,1.00E+15,1.00E-15,1.00E+15
