File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/846.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	500 ug/ml HIGH ISO
Injection Number	92
Position	RC11
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:05:11 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.923986
Signal Max.	185.985748
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.120000	0.200	31.290978
1.123333	0.200	31.049920
1.126667	0.200	29.649259
1.130000	0.200	27.393226
1.133333	0.200	24.626638
1.136667	0.200	21.663881
1.140000	0.200	18.746380
1.143333	0.200	16.030448
1.146667	0.200	13.596896
1.150000	0.200	11.470687
1.153333	0.200	9.641486
1.156667	0.200	8.080164
1.160000	0.200	6.750367
1.163333	0.200	5.615951
1.166667	0.200	4.645120
1.170000	0.200	3.811877
1.173333	0.200	3.095314
1.176667	0.200	2.478283
1.180000	0.200	1.947033
1.183333	0.200	1.491171
1.186667	0.200	1.102823
1.190000	0.200	0.775525
1.193333	0.200	0.503991
1.196667	0.200	0.284741
1.200000	0.200	0.116488
1.203333	0.200	0.000099
1.206667	0.200	-0.061564
1.210000	0.200	-0.065141
1.213333	0.200	-0.010752
1.216667	0.200	0.092999
1.220000	0.200	0.226196
1.223333	0.200	0.359565
1.226667	0.200	0.461381
1.230000	0.200	0.506225
1.233333	0.200	0.481551
1.236667	0.200	0.389899
1.240000	0.200	0.246510
1.243333	0.200	0.074047
1.246667	0.200	-0.103499
1.250000	0.200	-0.266461
1.253333	0.200	-0.402821
1.256667	0.200	-0.508103
1.260000	0.200	-0.583148
1.263333	0.200	-0.630657
1.266667	0.200	-0.650802
1.270000	0.200	-0.637240
1.273333	0.200	-0.575515
1.276667	0.200	-0.446405
1.280000	0.200	-0.236730
1.283333	0.200	0.045013
1.286667	0.200	0.358766
1.290000	0.200	0.639464
1.293333	0.200	0.819873
1.296667	0.200	0.857107
1.300000	0.200	0.747890
1.303333	0.200	0.526364
1.306667	0.200	0.248195
1.310000	0.200	-0.030115
1.313333	0.200	-0.267464
1.316667	0.200	-0.444514
1.320000	0.200	-0.560734
1.323333	0.200	-0.627114
1.326667	0.200	-0.659043
1.330000	0.200	-0.670997
1.333333	0.200	-0.673825
1.336667	0.200	-0.674298
1.340000	0.200	-0.675700
1.343333	0.200	-0.678631
1.346667	0.200	-0.681909
1.350000	0.200	-0.683697
1.353333	0.200	-0.682610
1.356667	0.200	-0.678292
1.360000	0.200	-0.671465
1.363333	0.200	-0.663760
1.366667	0.200	-0.657331
1.370000	0.200	-0.654171
1.373333	0.200	-0.655195
1.376667	0.200	-0.659965
1.380000	0.200	-0.667514
1.383333	0.200	-0.676937
1.386667	0.200	-0.687218
1.390000	0.200	-0.697328
1.393333	0.200	-0.706586
1.396667	0.200	-0.714593
1.400000	0.200	-0.721036
1.403333	0.200	-0.725732
1.406667	0.200	-0.728784
1.410000	0.200	-0.730749
1.413333	0.200	-0.732617
1.416667	0.200	-0.735327
1.420000	0.200	-0.739291
1.423333	0.200	-0.744334
1.426667	0.200	-0.750058
1.430000	0.200	-0.756327
1.433333	0.200	-0.763373
1.436667	0.200	-0.771718
1.440000	0.200	-0.782005
1.443333	0.200	-0.794321
1.446667	0.200	-0.807772
1.450000	0.200	-0.821184
1.453333	0.200	-0.833847
1.456667	0.200	-0.845402
1.460000	0.200	-0.855621
1.463333	0.200	-0.864480
1.466667	0.200	-0.871900
1.470000	0.200	-0.877257
1.473333	0.200	-0.879634
1.476667	0.200	-0.878823
1.480000	0.200	-0.875911
1.483333	0.200	-0.872678
1.486667	0.200	-0.870381
1.490000	0.200	-0.869259
1.493333	0.200	-0.868877
1.496667	0.200	-0.868773
1.500000	0.200	-0.869052
1.503333	0.200	-0.869989
1.506667	0.200	-0.871193
1.510000	0.200	-0.871799
1.513333	0.200	-0.871120
1.516667	0.200	-0.869132
1.520000	0.200	-0.866695
1.523333	0.200	-0.864850
1.526667	0.200	-0.863779
1.530000	0.200	-0.862753
1.533333	0.200	-0.860991
1.536667	0.200	-0.858537
1.540000	0.200	-0.856314
1.543333	0.200	-0.855279
1.546667	0.200	-0.855552
1.550000	0.200	-0.856407
1.553333	0.200	-0.856879
1.556667	0.200	-0.856276
1.560000	0.200	-0.854464
1.563333	0.200	-0.851978
1.566667	0.200	-0.849593
1.570000	0.200	-0.847769
1.573333	0.200	-0.846669
1.576667	0.200	-0.846436
1.580000	0.200	-0.846994
1.583333	0.200	-0.847590
1.586667	0.200	-0.846872
1.590000	0.200	-0.843696
1.593333	0.200	-0.837854
1.596667	0.200	-0.830116
1.600000	0.200	-0.821745
1.603333	0.200	-0.813735
1.606667	0.200	-0.806438
1.610000	0.200	-0.800154
1.613333	0.200	-0.794277
1.616667	0.200	-0.774565
1.620000	0.200	-0.662155
1.623333	0.200	-0.199509
1.626667	0.200	1.171480
1.630000	0.200	4.263043
1.633333	0.200	9.803305
1.636667	0.200	17.970029
1.640000	0.200	28.149264
1.643333	0.200	39.107440
1.646667	0.200	49.449641
1.650000	0.200	58.080850
1.653333	0.200	64.455958
1.656667	0.200	68.574418
1.660000	0.200	70.806322
1.663333	0.200	71.672711
1.666667	0.200	71.670428
1.670000	0.200	71.177667
1.673333	0.200	70.432574
1.676667	0.200	69.556961
1.680000	0.200	68.596867
1.683333	0.200	67.561109
1.686667	0.200	66.448382
1.690000	0.200	65.260508
1.693333	0.200	64.005656
1.696667	0.200	62.696883
1.700000	0.200	61.349060
1.703333	0.200	59.976006
1.706667	0.200	58.588528
1.710000	0.200	57.193566
1.713333	0.200	55.795133
1.716667	0.200	54.395919
1.720000	0.200	52.997829
1.723333	0.200	51.602299
1.726667	0.200	50.211225
1.730000	0.200	48.827252
1.733333	0.200	47.452710
1.736667	0.200	46.088871
1.740000	0.200	44.736446
1.743333	0.200	43.395947
1.746667	0.200	42.067463
1.750000	0.200	40.750872
1.753333	0.200	39.446458
1.756667	0.200	38.155137
1.760000	0.200	36.878193
1.763333	0.200	35.616869
1.766667	0.200	34.372380
1.770000	0.200	33.146111
1.773333	0.200	31.939221
1.776667	0.200	30.752123
1.780000	0.200	29.584596
1.783333	0.200	28.436182
1.786667	0.200	27.306158
1.790000	0.200	26.193522
1.793333	0.200	25.097825
1.796667	0.200	24.020135
1.800000	0.200	22.962630
1.803333	0.200	21.927018
1.806667	0.200	20.913415
1.810000	0.200	19.921037
1.813333	0.200	18.950040
1.816667	0.200	18.002073
1.820000	0.200	17.078737
1.823333	0.200	16.180201
1.826667	0.200	15.305751
1.830000	0.200	14.455107
1.833333	0.200	13.628507
1.836667	0.200	12.825880
1.840000	0.200	12.046555
1.843333	0.200	11.289752
1.846667	0.200	10.555286
1.850000	0.200	9.843497
1.853333	0.200	9.154479
1.856667	0.200	8.487963
1.860000	0.200	7.843726
1.863333	0.200	7.221835
1.866667	0.200	6.622867
1.870000	0.200	6.048126
1.873333	0.200	5.499285
1.876667	0.200	4.977558
1.880000	0.200	4.483153
1.883333	0.200	4.015326
1.886667	0.200	3.573008
1.890000	0.200	3.155745
1.893333	0.200	2.764020
1.896667	0.200	2.398414
1.900000	0.200	2.058699
1.903333	0.200	1.744242
1.906667	0.200	1.454697
1.910000	0.200	1.189501
1.913333	0.200	0.947647
1.916667	0.200	0.728549
1.920000	0.200	0.532132
1.923333	0.200	0.357814
1.926667	0.200	0.204018
1.930000	0.200	0.068928
1.933333	0.200	-0.048637
1.936667	0.200	-0.149458
