File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/725.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	5000 ug/ml HIGH
Injection Number	96
Position	RB6
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:51:56 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.994987
Signal Max.	1,453.496068
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.703333	0.200	-0.980901
1.706667	0.200	-0.979293
1.710000	0.200	-0.977621
1.713333	0.200	-0.976272
1.716667	0.200	-0.975236
1.720000	0.200	-0.973978
1.723333	0.200	-0.972221
1.726667	0.200	-0.970468
1.730000	0.200	-0.969293
1.733333	0.200	-0.968645
1.736667	0.200	-0.968161
1.740000	0.200	-0.967538
1.743333	0.200	-0.966539
1.746667	0.200	-0.965060
1.750000	0.200	-0.963200
1.753333	0.200	-0.961272
1.756667	0.200	-0.959747
1.760000	0.200	-0.959083
1.763333	0.200	-0.959495
1.766667	0.200	-0.960824
1.770000	0.200	-0.962724
1.773333	0.200	-0.964989
1.776667	0.200	-0.967403
1.780000	0.200	-0.969261
1.783333	0.200	-0.969811
1.786667	0.200	-0.969278
1.790000	0.200	-0.968730
1.793333	0.200	-0.968916
1.796667	0.200	-0.969517
1.800000	0.200	-0.969489
1.803333	0.200	-0.968119
1.806667	0.200	-0.965841
1.810000	0.200	-0.963995
1.813333	0.200	-0.963751
1.816667	0.200	-0.965242
1.820000	0.200	-0.967540
1.823333	0.200	-0.969275
1.826667	0.200	-0.969521
1.830000	0.200	-0.968416
1.833333	0.200	-0.966885
1.836667	0.200	-0.965898
1.840000	0.200	-0.965806
1.843333	0.200	-0.965979
1.846667	0.200	-0.965384
1.850000	0.200	-0.963537
1.853333	0.200	-0.960580
1.856667	0.200	-0.956917
1.860000	0.200	-0.952909
1.863333	0.200	-0.948199
1.866667	0.200	-0.941507
1.870000	0.200	-0.931634
1.873333	0.200	-0.918356
1.876667	0.200	-0.902488
1.880000	0.200	-0.885523
1.883333	0.200	-0.869031
1.886667	0.200	-0.854216
1.890000	0.200	-0.841824
1.893333	0.200	-0.832306
1.896667	0.200	-0.826101
1.900000	0.200	-0.823611
1.903333	0.200	-0.825031
1.906667	0.200	-0.830197
1.910000	0.200	-0.838414
1.913333	0.200	-0.848863
1.916667	0.200	-0.861305
1.920000	0.200	-0.875809
1.923333	0.200	-0.891738
1.926667	0.200	-0.907462
1.930000	0.200	-0.921267
1.933333	0.200	-0.932538
1.936667	0.200	-0.941973
1.940000	0.200	-0.950459
1.943333	0.200	-0.957862
1.946667	0.200	-0.963315
1.950000	0.200	-0.966513
1.953333	0.200	-0.968223
1.956667	0.200	-0.969806
1.960000	0.200	-0.972347
1.963333	0.200	-0.975942
1.966667	0.200	-0.979979
1.970000	0.200	-0.983943
1.973333	0.200	-0.987617
1.976667	0.200	-0.990877
1.980000	0.200	-0.993501
1.983333	0.200	-0.994987
1.986667	0.200	-0.994826
1.990000	0.200	-0.993094
1.993333	0.200	-0.990195
1.996667	0.200	-0.986392
2.000000	0.200	-0.982305
2.003333	0.200	-0.979035
2.006667	0.200	-0.977121
2.010000	0.200	-0.975988
2.013333	0.200	-0.974759
2.016667	0.200	-0.973235
2.020000	0.200	-0.971763
2.023333	0.200	-0.970486
2.026667	0.200	-0.969285
2.030000	0.200	-0.968131
2.033333	0.200	-0.967037
2.036667	0.200	-0.966084
2.040000	0.200	-0.965483
2.043333	0.200	-0.965254
2.046667	0.200	-0.965223
2.050000	0.200	-0.965398
2.053333	0.200	-0.965851
2.056667	0.200	-0.966539
2.060000	0.200	-0.967710
2.063333	0.200	-0.969847
2.066667	0.200	-0.973053
2.070000	0.200	-0.976898
2.073333	0.200	-0.980616
2.076667	0.200	-0.983371
2.080000	0.200	-0.984670
2.083333	0.200	-0.984652
2.086667	0.200	-0.983897
2.090000	0.200	-0.982855
2.093333	0.200	-0.981724
2.096667	0.200	-0.980810
2.100000	0.200	-0.980413
2.103333	0.200	-0.980501
2.106667	0.200	-0.980912
2.110000	0.200	-0.981702
2.113333	0.200	-0.982939
2.116667	0.200	-0.984254
2.120000	0.200	-0.984984
2.123333	0.200	-0.984935
2.126667	0.200	-0.984554
2.130000	0.200	-0.984203
2.133333	0.200	-0.983922
2.136667	0.200	-0.983661
2.140000	0.200	-0.983188
2.143333	0.200	-0.982399
2.146667	0.200	-0.981797
2.150000	0.200	-0.982105
2.153333	0.200	-0.983420
2.156667	0.200	-0.985085
2.160000	0.200	-0.986459
2.163333	0.200	-0.987452
2.166667	0.200	-0.988212
2.170000	0.200	-0.988698
2.173333	0.200	-0.988649
2.176667	0.200	-0.987791
2.180000	0.200	-0.986086
2.183333	0.200	-0.983935
2.186667	0.200	-0.982124
2.190000	0.200	-0.981176
2.193333	0.200	-0.980900
2.196667	0.200	-0.980973
2.200000	0.200	-0.981297
2.203333	0.200	-0.981415
2.206667	0.200	-0.980392
2.210000	0.200	-0.977691
2.213333	0.200	-0.973806
2.216667	0.200	-0.969845
2.220000	0.200	-0.966712
2.223333	0.200	-0.964810
2.226667	0.200	-0.964132
2.230000	0.200	-0.964417
2.233333	0.200	-0.965351
2.236667	0.200	-0.966574
2.240000	0.200	-0.967573
2.243333	0.200	-0.967879
2.246667	0.200	-0.967381
2.250000	0.200	-0.966325
2.253333	0.200	-0.965011
2.256667	0.200	-0.963384
2.260000	0.200	-0.961018
2.263333	0.200	-0.957818
2.266667	0.200	-0.954586
2.270000	0.200	-0.952564
2.273333	0.200	-0.952515
2.276667	0.200	-0.954379
2.280000	0.200	-0.957242
2.283333	0.200	-0.959406
2.286667	0.200	-0.959452
2.290000	0.200	-0.957628
2.293333	0.200	-0.955630
2.296667	0.200	-0.955041
2.300000	0.200	-0.956078
2.303333	0.200	-0.957597
2.306667	0.200	-0.958190
2.310000	0.200	-0.957200
2.313333	0.200	-0.954943
2.316667	0.200	-0.952179
2.320000	0.200	-0.949218
2.323333	0.200	-0.945889
2.326667	0.200	-0.942235
2.330000	0.200	-0.938340
2.333333	0.200	-0.933813
2.336667	0.200	-0.928100
2.340000	0.200	-0.921183
2.343333	0.200	-0.913936
2.346667	0.200	-0.907555
2.350000	0.200	-0.902651
2.353333	0.200	-0.899217
2.356667	0.200	-0.896966
2.360000	0.200	-0.895410
2.363333	0.200	-0.894183
2.366667	0.200	-0.893546
2.370000	0.200	-0.894160
2.373333	0.200	-0.896177
2.376667	0.200	-0.898925
2.380000	0.200	-0.901604
2.383333	0.200	-0.904003
2.386667	0.200	-0.906451
2.390000	0.200	-0.909312
2.393333	0.200	-0.912786
2.396667	0.200	-0.916859
2.400000	0.200	-0.921207
2.403333	0.200	-0.925576
2.406667	0.200	-0.929943
2.410000	0.200	-0.933892
2.413333	0.200	-0.936537
2.416667	0.200	-0.937405
2.420000	0.200	-0.936712
2.423333	0.200	-0.934717
2.426667	0.200	-0.931620
2.430000	0.200	-0.928158
2.433333	0.200	-0.925374
2.436667	0.200	-0.923818
2.440000	0.200	-0.923544
2.443333	0.200	-0.924264
2.446667	0.200	-0.925374
2.450000	0.200	-0.926477
2.453333	0.200	-0.927611
2.456667	0.200	-0.928832
2.460000	0.200	-0.929932
2.463333	0.200	-0.930299
2.466667	0.200	-0.929002
2.470000	0.200	-0.925385
2.473333	0.200	-0.919502
2.476667	0.200	-0.912011
2.480000	0.200	-0.903786
2.483333	0.200	-0.895402
2.486667	0.200	-0.886963
2.490000	0.200	-0.878372
2.493333	0.200	-0.869529
2.496667	0.200	-0.860281
2.500000	0.200	-0.850575
2.503333	0.200	-0.841067
2.506667	0.200	-0.833140
2.510000	0.200	-0.827741
2.513333	0.200	-0.824822
2.516667	0.200	-0.823946
2.520000	0.200	-0.824772
2.523333	0.200	-0.827194
2.526667	0.200	-0.831407
2.530000	0.200	-0.837634
2.533333	0.200	-0.845742
2.536667	0.200	-0.855040
2.540000	0.200	-0.864397
2.543333	0.200	-0.872783
2.546667	0.200	-0.879661
2.550000	0.200	-0.884934
2.553333	0.200	-0.888954
2.556667	0.200	-0.892276
2.560000	0.200	-0.895010
2.563333	0.200	-0.896882
2.566667	0.200	-0.897893
2.570000	0.200	-0.898271
2.573333	0.200	-0.898265
2.576667	0.200	-0.898266
2.580000	0.200	-0.898526
2.583333	0.200	-0.898977
2.586667	0.200	-0.899436
2.590000	0.200	-0.899635
2.593333	0.200	-0.899478
2.596667	0.200	-0.899209
2.600000	0.200	-0.898873
2.603333	0.200	-0.898190
2.606667	0.200	-0.897102
2.610000	0.200	-0.895785
2.613333	0.200	-0.894187
2.616667	0.200	-0.892227
2.620000	0.200	-0.890429
2.623333	0.200	-0.889947
2.626667	0.200	-0.891580
