File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/539.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	1000 ug/ml HIGH
Injection Number	94
Position	RB4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Calibration Standard
Status	Finished
Injection Date	10/14/2017
Injection Time	8:28:33 AM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.921364
Signal Max.	368.979905
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
0.936667	0.200	0.319559
0.940000	0.200	0.190579
0.943333	0.200	0.074455
0.946667	0.200	-0.013511
0.950000	0.200	-0.063401
0.953333	0.200	-0.072192
0.956667	0.200	-0.044267
0.960000	0.200	0.009070
0.963333	0.200	0.071810
0.966667	0.200	0.127574
0.970000	0.200	0.164566
0.973333	0.200	0.179838
0.976667	0.200	0.184862
0.980000	0.200	0.214595
0.983333	0.200	0.334347
0.986667	0.200	0.628891
0.990000	0.200	1.162583
0.993333	0.200	1.924333
0.996667	0.200	2.796017
1.000000	0.200	3.578458
1.003333	0.200	4.070229
1.006667	0.200	4.152824
1.010000	0.200	3.831441
1.013333	0.200	3.215537
1.016667	0.200	2.461799
1.020000	0.200	1.715505
1.023333	0.200	1.074960
1.026667	0.200	0.583456
1.030000	0.200	0.239661
1.033333	0.200	0.015506
1.036667	0.200	-0.125767
1.040000	0.200	-0.216433
1.043333	0.200	-0.278722
1.046667	0.200	-0.325206
1.050000	0.200	-0.361046
1.053333	0.200	-0.385915
1.056667	0.200	-0.395606
1.060000	0.200	-0.382954
1.063333	0.200	-0.336588
1.066667	0.200	-0.236347
1.070000	0.200	-0.045518
1.073333	0.200	0.300200
1.076667	0.200	0.907965
1.080000	0.200	1.943381
1.083333	0.200	3.632913
1.086667	0.200	6.234040
1.090000	0.200	9.960617
1.093333	0.200	14.874206
1.096667	0.200	20.782643
1.100000	0.200	27.201626
1.103333	0.200	33.418696
1.106667	0.200	38.654057
1.110000	0.200	42.260914
1.113333	0.200	43.884867
1.116667	0.200	43.524891
1.120000	0.200	41.486405
1.123333	0.200	38.259172
1.126667	0.200	34.374455
1.130000	0.200	30.290802
1.133333	0.200	26.332852
1.136667	0.200	22.682390
1.140000	0.200	19.406044
1.143333	0.200	16.498554
1.146667	0.200	13.923185
1.150000	0.200	11.639499
1.153333	0.200	9.617763
1.156667	0.200	7.842844
1.160000	0.200	6.310422
1.163333	0.200	5.019181
1.166667	0.200	3.962999
1.170000	0.200	3.125995
1.173333	0.200	2.481925
1.176667	0.200	1.997555
1.180000	0.200	1.637967
1.183333	0.200	1.372566
1.186667	0.200	1.181036
1.190000	0.200	1.056471
1.193333	0.200	1.002889
1.196667	0.200	1.027942
1.200000	0.200	1.134399
1.203333	0.200	1.314098
1.206667	0.200	1.546557
1.210000	0.200	1.802239
1.213333	0.200	2.049272
1.216667	0.200	2.260510
1.220000	0.200	2.416909
1.223333	0.200	2.506676
1.226667	0.200	2.522677
1.230000	0.200	2.460380
1.233333	0.200	2.318126
1.236667	0.200	2.099528
1.240000	0.200	1.815687
1.243333	0.200	1.485608
1.246667	0.200	1.134051
1.250000	0.200	0.787039
1.253333	0.200	0.466869
1.256667	0.200	0.188727
1.260000	0.200	-0.040239
1.263333	0.200	-0.219766
1.266667	0.200	-0.354559
1.270000	0.200	-0.452241
1.273333	0.200	-0.520878
1.276667	0.200	-0.566594
1.280000	0.200	-0.592425
1.283333	0.200	-0.598806
1.286667	0.200	-0.584803
1.290000	0.200	-0.549190
1.293333	0.200	-0.492140
1.296667	0.200	-0.417429
1.300000	0.200	-0.333109
1.303333	0.200	-0.250328
1.306667	0.200	-0.181314
1.310000	0.200	-0.136809
1.313333	0.200	-0.122841
1.316667	0.200	-0.137982
1.320000	0.200	-0.173361
1.323333	0.200	-0.215666
1.326667	0.200	-0.251129
1.330000	0.200	-0.268825
1.333333	0.200	-0.262745
