File Path	chrom://nnfcb-l0286/ChromeleonLocal/metk/20171013_HMP_C61_metk.seq/952.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Injection	20171013_HMP_C61_ISO_P1_GA4
Injection Number	25
Position	GA4
Comment	
Processing Method	HMP New ProcMethod
Instrument Method	HM_metode_ZorBax_0,02%_Acetic_acid_ver6
Type	Unknown
Status	Finished
Injection Date	10/13/2017
Injection Time	7:03:21 PM
Injection Volume (µl)	1.000
Dilution Factor	1.0000
Weight	1.0000

Raw Data Information:
Time Min. (min)	0.000000
Time Max. (min)	11.000000
Data Points	3301
Detector	UV
Exporting Data System	Chromeleon 7.1.3.2425
Operator	
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.882378
Signal Max.	246.138505
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.200
Max. Step (s)	0.200
Average Step (s)	0.200

Signal Parameter Information:
Signal Info	WVL:280 nm

Raw Data:
Time (min)	Step (s)	Value (mAU)
1.313333	0.200	13.304752
1.316667	0.200	10.596976
1.320000	0.200	8.243700
1.323333	0.200	6.383509
1.326667	0.200	5.020292
1.330000	0.200	4.076988
1.333333	0.200	3.446858
1.336667	0.200	3.028874
1.340000	0.200	2.744729
1.343333	0.200	2.542145
1.346667	0.200	2.390807
1.350000	0.200	2.275424
1.353333	0.200	2.188958
1.356667	0.200	2.128055
1.360000	0.200	2.090949
1.363333	0.200	2.076661
1.366667	0.200	2.084097
1.370000	0.200	2.111275
1.373333	0.200	2.155319
1.376667	0.200	2.212892
1.380000	0.200	2.280653
1.383333	0.200	2.355244
1.386667	0.200	2.432602
1.390000	0.200	2.507834
1.393333	0.200	2.576026
1.396667	0.200	2.632313
1.400000	0.200	2.671350
1.403333	0.200	2.688150
1.406667	0.200	2.679779
1.410000	0.200	2.645942
1.413333	0.200	2.588223
1.416667	0.200	2.509388
1.420000	0.200	2.413482
1.423333	0.200	2.305734
1.426667	0.200	2.191794
1.430000	0.200	2.076791
1.433333	0.200	1.964393
1.436667	0.200	1.856577
1.440000	0.200	1.754430
1.443333	0.200	1.658981
1.446667	0.200	1.571631
1.450000	0.200	1.494447
1.453333	0.200	1.430331
1.456667	0.200	1.382647
1.460000	0.200	1.354415
1.463333	0.200	1.347849
1.466667	0.200	1.364202
1.470000	0.200	1.403024
1.473333	0.200	1.461656
1.476667	0.200	1.536289
1.480000	0.200	1.623944
1.483333	0.200	1.724314
1.486667	0.200	1.840390
1.490000	0.200	1.977380
1.493333	0.200	2.141471
1.496667	0.200	2.339129
1.500000	0.200	2.575408
1.503333	0.200	2.851072
1.506667	0.200	3.160239
1.510000	0.200	3.489803
1.513333	0.200	3.820609
1.516667	0.200	4.129697
1.520000	0.200	4.393187
1.523333	0.200	4.589529
1.526667	0.200	4.702585
1.530000	0.200	4.724478
1.533333	0.200	4.657499
1.536667	0.200	4.513348
1.540000	0.200	4.310409
1.543333	0.200	4.070947
1.546667	0.200	3.817993
1.550000	0.200	3.571922
1.553333	0.200	3.347867
1.556667	0.200	3.154326
1.560000	0.200	2.992987
1.563333	0.200	2.859921
1.566667	0.200	2.747789
1.570000	0.200	2.647936
1.573333	0.200	2.551591
1.576667	0.200	2.450401
1.580000	0.200	2.337333
1.583333	0.200	2.207991
1.586667	0.200	2.061231
1.590000	0.200	1.898792
1.593333	0.200	1.724465
1.596667	0.200	1.543213
1.600000	0.200	1.360506
1.603333	0.200	1.181797
1.606667	0.200	1.011843
1.610000	0.200	0.854179
1.613333	0.200	0.711155
1.616667	0.200	0.584129
1.620000	0.200	0.473358
1.623333	0.200	0.378008
1.626667	0.200	0.296885
1.630000	0.200	0.229317
1.633333	0.200	0.174828
1.636667	0.200	0.132052
1.640000	0.200	0.098846
1.643333	0.200	0.073384
1.646667	0.200	0.054499
1.650000	0.200	0.041278
1.653333	0.200	0.033024
1.656667	0.200	0.029641
1.660000	0.200	0.031731
1.663333	0.200	0.040132
1.666667	0.200	0.055086
1.670000	0.200	0.075880
1.673333	0.200	0.101520
1.676667	0.200	0.131521
1.680000	0.200	0.166029
1.683333	0.200	0.205575
